fanout,seed,status,elapsed_seconds,plans,search_calls,branches,rollbacks,trail_entries,intent_pairs_scanned,compatible_pairs,claim_branches,recruit_branches,exclude_branches,footprint_checks,footprint_matches,footprint_dynamic_matches,footprint_exchange_matches,footprint_location_matches,max_search_steps,max_search_depth,max_intents,max_roots,max_claim_group,max_trail
8,1,ok,5.469584942,160,251737,251578,251578,2591722,2259909,150798,52928,14672,14648,105899,14672,60,14612,0,251179,16,10,10,1,153
8,2,ok,0.029760838,160,564,404,404,7428,207,16,179,74,50,1157,74,58,16,0,28,11,3,4,1,121
8,3,ok,5.453004122,160,251735,251575,251575,2591703,2259909,150798,52927,14672,14648,105899,14672,60,14612,0,251179,16,10,10,1,153
8,4,ok,2.729931116,160,126154,125995,125995,1299607,1130058,75407,26554,7373,7349,53528,7373,59,7314,0,125595,16,10,10,1,153
8,5,ok,0.027145147,160,568,408,408,7464,207,16,179,74,50,1157,74,58,16,0,28,11,3,4,1,121
8,6,ok,5.309988022,160,251736,251577,251577,2591713,2259909,150798,52928,14672,14648,105899,14672,60,14612,0,251179,16,10,10,1,153
8,7,ok,2.703136921,160,126148,125988,125988,1299552,1130058,75407,26553,7373,7349,53528,7373,59,7314,0,125595,16,10,10,1,153
8,8,ok,5.428082943,160,251734,251575,251575,2591695,2259909,150798,52928,14672,14648,105899,14672,60,14612,0,251179,16,10,10,1,153
