fanout,seed,status,elapsed_seconds,plans,search_calls,branches,rollbacks,trail_entries,intent_pairs_scanned,compatible_pairs,claim_branches,recruit_branches,exclude_branches,footprint_checks,footprint_matches,footprint_dynamic_matches,footprint_exchange_matches,footprint_location_matches,max_search_steps,max_search_depth,max_intents,max_roots,max_claim_group,max_trail
7,7,ok,0.015966177,142,275,68,68,3434,14,14,25,20,0,320,32,6,14,0,8,7,2,3,1,106
7,8,ok,0.013435125,142,275,68,68,3435,14,14,25,20,0,310,32,6,14,0,8,7,2,3,1,106
7,9,ok,0.012977839,142,278,71,71,3464,14,14,25,20,0,337,32,6,14,0,8,7,2,3,1,106
7,10,ok,0.013129950,142,275,68,68,3434,14,14,25,20,0,318,32,6,14,0,8,7,2,3,1,106
7,11,ok,0.013036013,142,276,69,69,3445,14,14,25,20,0,324,32,6,14,0,8,7,2,3,1,106
7,12,ok,0.015493870,142,275,68,68,3434,14,14,25,20,0,327,32,6,14,0,8,7,2,3,1,106
7,13,ok,0.015399933,142,277,70,70,3455,14,14,25,20,0,321,32,6,14,0,8,7,2,3,1,106
7,14,ok,0.013035059,142,278,71,71,3464,14,14,25,20,0,330,32,6,14,0,8,7,2,3,1,106
7,15,ok,0.013346910,142,275,68,68,3434,14,14,25,20,0,318,32,6,14,0,8,7,2,3,1,106
7,16,ok,0.012901068,142,276,69,69,3445,14,14,25,20,0,326,32,6,14,0,8,7,2,3,1,106
8,1,ok,0.016791105,160,312,78,78,3862,16,16,27,23,0,443,37,7,16,0,8,7,2,3,1,106
8,2,ok,0.014908075,160,308,74,74,3821,16,16,27,23,0,419,37,7,16,0,8,7,2,3,1,106
8,3,ok,0.014529943,160,312,78,78,3862,16,16,27,23,0,444,37,7,16,0,8,7,2,3,1,106
8,4,ok,0.015105963,160,309,75,75,3831,16,16,27,23,0,427,37,7,16,0,8,7,2,3,1,106
8,5,ok,0.016015053,160,310,76,76,3842,16,16,27,23,0,426,37,7,16,0,8,7,2,3,1,106
8,6,ok,0.015691996,160,311,77,77,3852,16,16,27,23,0,434,37,7,16,0,8,7,2,3,1,106
8,7,ok,0.018060923,160,306,72,72,3801,16,16,27,23,0,407,37,7,16,0,8,7,2,3,1,106
8,8,ok,0.016988039,160,308,74,74,3821,16,16,27,23,0,423,37,7,16,0,8,7,2,3,1,106
8,9,ok,0.014938116,160,311,77,77,3851,16,16,27,23,0,442,37,7,16,0,8,7,2,3,1,106
8,10,ok,0.014272928,160,307,73,73,3812,16,16,27,23,0,405,37,7,16,0,8,7,2,3,1,106
8,11,ok,0.013997078,160,309,75,75,3832,16,16,27,23,0,428,37,7,16,0,8,7,2,3,1,106
8,12,ok,0.017344952,160,306,72,72,3801,16,16,27,23,0,415,37,7,16,0,8,7,2,3,1,106
8,13,ok,0.015339136,160,310,76,76,3842,16,16,27,23,0,426,37,7,16,0,8,7,2,3,1,106
8,14,ok,0.015342951,160,311,77,77,3851,16,16,27,23,0,434,37,7,16,0,8,7,2,3,1,106
8,15,ok,0.016614914,160,306,72,72,3801,16,16,27,23,0,405,37,7,16,0,8,7,2,3,1,106
8,16,ok,0.014759064,160,310,76,76,3842,16,16,27,23,0,439,37,7,16,0,8,7,2,3,1,106
